Sample	CK_0d	CK_1d	CK_7d	CK_21d	CK_56d	CIP_A_0d	CIP_A_1d	CIP_A_7d	CIP_A_21d	CIP_A_56d	CIP_B_0d	CIP_B_1d	CIP_B_7d	CIP_B_21d	CIP_B_56d	CIP_C_0d	CIP_C_1d	CIP_C_7d	CIP_C_21d	CIP_C_56d	CIP_D_0d	CIP_D_1d	CIP_D_7d	CIP_D_21d	CIP_D_56d	TCS_A_0d	TCS_A_1d	TCS_A_7d	TCS_A_21d	TCS_A_56d	TCS_B_0d	TCS_B_1d	TCS_B_7d	TCS_B_21d	TCS_B_56d	TCS_C_0d	TCS_C_1d	TCS_C_7d	TCS_C_21d	TCS_C_56d	TCS_D_0d	TCS_D_1d	TCS_D_7d	TCS_D_21d	TCS_D_56d	CU_A_0d	CU_A_1d	CU_A_7d	CU_A_21d	CU_A_56d	CU_B_0d	CU_B_1d	CU_B_7d	CU_B_21d	CU_B_56d	CU_C_0d	CU_C_1d	CU_C_7d	CU_C_21d	CU_C_56d	CU_D_0d	CU_D_1d	CU_D_7d	CU_D_21d	CU_D_56d	TCS_CU_0d	TCS_CU_1d	TCS_CU_7d	TCS_CU_21d	TCS_CU_56d	CIP_TCS_0d	CIP_TCS_1d	CIP_TCS_7d	CIP_TCS_21d	CIP_TCS_56d	CIP_CU_0d	CIP_CU_1d	CIP_CU_7d	CIP_CU_21d	CIP_CU_56d	CIP_TCS_CU_0d	CIP_TCS_CU_1d	CIP_TCS_CU_7d	CIP_TCS_CU_21d	CIP_TCS_CU_56d	type	sum
beta-lactam__LCR-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55E-04	0	0	0	0	0	0	0	0	0	beta-lactam	0.0003223
aminoglycoside__aadE	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05E-05	0	0	0	0	0	0	8.24E-05	1.68E-05	0	0	0	2.89E-05	2.52E-05	2.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.50E-05	0	aminoglycoside	0.0002975
trimethoprim__dfrA20	9.72E-06	8.87E-06	0	4.65E-06	4.21E-05	0	0	0	0	0	0	0	3.46E-05	0	1.81E-05	0	0	0	0	0	0	0	0	0	1.90E-05	0	0	0	0	0	1.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84E-05	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	trimethoprim	0.00022744
beta-lactam__PSE-1	0	0	0	0	0	1.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0002893
beta-lactam__ACT-1	0	0	0	0	0	0	0	2.87E-05	1.11E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.95E-06	0	0	0	0	4.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.00028155
macrolide-lincosamide-streptogramin__msrA	0	0	0	0	0	1.09E-05	0	0	0	0	0	0	0	9.64E-06	0	1.31E-05	0	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29E-05	0	0	0	7.38E-05	0	0	1.93E-05	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	2.50E-05	0	0	4.32E-05	0	0	0	0	0	0	0	0	macrolide-lincosamide-streptogramin	0.00025944
beta-lactam__ACT-2	0	0	0	4.50E-06	0	0	0	5.77E-05	8.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41E-05	0	0	0	0	beta-lactam	0.0002508
multidrug__pmrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26E-05	1.58E-05	0	0	0	9.60E-05	5.96E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	multidrug	0.000255
chloramphenicol__catD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.83E-05	0	0	0	0	2.12E-05	0	0	0	0	1.00E-05	0	0	0	1.40E-05	0	1.45E-05	0	0	0	0	0	0	0	0	1.70E-05	0	0	0	0	1.92E-05	0	0	0	0	4.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96E-05	0	0	0	0	4.06E-05	chloramphenicol	0.0002513
multidrug__adeA	0	0	6.66E-05	0	0	0	0	0	0	0	0	1.07E-05	0	0	0	0	0	0	9.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	multidrug	0.0001826
beta-lactam__CMY-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05E-05	0	0	0	0	0	0	0	0	1.18E-05	0	0	0	0	0	1.28E-04	5.11E-05	0	0	0	0	0	beta-lactam	0.0002414
tetracycline__tet34	0	1.29E-05	0	0	0	0	0	3.55E-05	5.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39E-05	0	0	0	3.14E-05	0	0	0	2.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.0002209
multidrug__qacB	0	0	0	0	0	0	0	0	0	2.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-05	0	0	0	0	0	0	0	0	0	0	0	1.62E-05	2.36E-05	0	0	0	0	0	2.24E-05	0	1.00E-05	0	2.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.74E-05	0	0	0	0	0	0	multidrug	0.0002323
beta-lactam__LRA-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01E-05	0	0	0	0	0	0	0	0	0	1.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66E-05	0	0	1.89E-05	0	0	0	0	0	0	0	0	1.17E-04	0	0	2.20E-05	0	0	0	0	1.18E-05	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0002313
multidrug__opcM	0	0	2.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07E-05	0	0	0	0	0	0	0	0	0	0	6.97E-05	1.17E-05	0	0	0	0	0	0	0	0	2.76E-05	0	0	multidrug	0.0001974
vancomycin__vanB	0	0	0	9.52E-06	5.76E-06	8.09E-06	0	0	0	4.25E-05	0	0	0	2.04E-05	1.92E-05	0	1.34E-05	0	2.52E-05	6.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12E-06	0	0	0	0	0	0	0	1.02E-05	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vancomycin	0.00019667
beta-lactam__LRA-12	0	0	0	0	0	0	0	0	0	0	0	2.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.25E-05	0	0	0	0	0	0	0	0	0	0	8.93E-05	1.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0002024
quinolone__mfpA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	6.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	quinolone	0.0002006
beta-lactam__LRA-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11E-05	1.57E-05	1.02E-04	beta-lactam	0.0001988
aminoglycoside__aadD	0	0	0	0	0	1.41E-04	0	1.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aminoglycoside	0.0001978
aminoglycoside__aac(2')-I	0	0	1.28E-05	0	0	4.28E-05	0	0	0	0	0	0	0	0	1.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75E-05	2.04E-05	0	0	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	2.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	aminoglycoside	0.0001765
beta-lactam__CARB-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.000179
polymyxin__icr-Mo	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15E-06	2.90E-06	0	0	0	0	2.96E-06	0	0	0	4.43E-06	9.35E-06	0	0	0	0	7.88E-06	0	0	0	0	6.42E-06	0	2.89E-05	0	0	0	5.97E-06	0	0	0	0	5.45E-06	0	0	0	0	0	0	0	5.26E-05	2.84E-05	0	0	0	0	0	0	0	6.75E-06	0	0	0	0	0	0	0	0	0	0	0	0	9.99E-06	0	0	0	0	0	0	0	0	0	polymyxin	0.00017715
beta-lactam__LEN-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06E-05	0	0	0	0	0	1.97E-05	0	0	0	0	0	0	0	0	0	9.58E-05	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0001741
macrolide-lincosamide-streptogramin__vatB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71E-05	0	0	1.06E-04	0	0	0	0	0	0	0	macrolide-lincosamide-streptogramin	0.0001731
quinolone__qnrB	0	0	0	0	0	0	0	0	0	0	3.08E-05	1.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40E-05	0	0	quinolone	0.0001691
beta-lactam__ACT-13	0	0	0	0	0	0	0	2.84E-05	2.09E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46E-05	1.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38E-05	4.66E-05	0	0	0	beta-lactam	0.000168
vancomycin__vanD	0	0	9.93E-06	3.41E-05	1.14E-05	0	0	0	0	0	0	0	0	0	1.61E-05	0	0	0	7.38E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93E-05	0	1.25E-05	0	0	0	0	0	0	0	0	0	0	vancomycin	0.00011071
beta-lactam__CGB-1	0	0	0	0	0	0	0	0	0	2.02E-05	0	0	0	0	0	0	0	0	1.43E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0001632
vancomycin__vanZ	0	0	0	0	7.90E-06	0	0	0	0	0	0	0	0	0	0	0	3.50E-05	0	0	0	0	4.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71E-05	0	0	0	0	0	0	0	0	2.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vancomycin	0.0001544
beta-lactam__LRA-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04E-05	0	0	0	0	0	1.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23E-05	0	0	0	7.51E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-05	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0001618
beta-lactam__OXA-243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50E-05	0	0	0	1.44E-04	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.000159
unclassified__rpsD_(ramA_or_sud2)	0	0	9.31E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unclassified	0.00013911
beta-lactam__OXA-278	0	1.91E-05	0	0	0	4.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63E-05	0	0	3.08E-05	0	1.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0001295
trimethoprim__dfrA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.28E-05	0	0	0	0	0	0	0	trimethoprim	0.0001446
multidrug__norA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.48E-05	0	0	0	0	0	0	0	0	0	0	4.44E-05	0	0	multidrug	0.0001392
beta-lactam__OXA-119	0	0	0	0	0	0	0	0	0	0	0	0	2.06E-05	0	0	0	0	0	0	0	0	0	0	0	1.00E-04	0	0	0	0	0	0	0	0	0	0	1.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0001339
multidrug__mdtM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.86E-05	0	0	0	0	0	0	4.85E-05	0	0	0	0	0	2.68E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	multidrug	0.00013151
beta-lactam__VEB-7	0	0	0	0	0	0	0	0	2.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12E-05	0	0	0	0	0	0	beta-lactam	0.0001296
beta-lactam__OXA-92	0	0	0	0	0	0	0	0	0	0	0	1.28E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.000128
chloramphenicol__chloramphenicol and florfenicol resistance gene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66E-05	0	0	0	6.75E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18E-05	0	0	0	0	0	chloramphenicol	0.0001259
vancomycin__vanG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.24E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.65E-05	1.57E-05	0	0	0	0	0	0	0	0	0	1.46E-05	0	0	0	0	0	0	vancomycin	0.00012404
trimethoprim__dfrA21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.92E-05	0	0	0	0	0	0	0	0	0	5.13E-05	0	0	0	0	0	0	0	trimethoprim	0.0001205
unclassified__bacterial regulatory protein LuxR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unclassified	0.00012
multidrug__mdtP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09E-05	0	multidrug	0.0001181
beta-lactam__OXA-325	0	0	4.58E-05	0	5.70E-06	0	0	0	1.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0000655
tetracycline__tet36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39E-05	0	0	0	0	0	0	1.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97E-05	3.85E-05	0	0	0	0	0	0	0	0	1.65E-05	1.36E-05	0	0	0	0	0	0	tetracycline	0.0001151
beta-lactam__OXY-5	1.89E-05	0	0	6.91E-06	0	0	0	1.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88E-05	1.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.00008491
macrolide-lincosamide-streptogramin__ermC	0	0	0	0	4.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	macrolide-lincosamide-streptogramin	0.0000608
tetracycline__tetX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78E-05	0	0	0	0	2.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.0001037
beta-lactam__CfxA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-05	0	0	0	0	3.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0001026
tetracycline__tetW	2.66E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.57E-06	5.14E-06	0	6.86E-06	4.24E-06	0	8.43E-06	5.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.69E-06	0	3.66E-06	0	4.90E-06	0	0	4.05E-06	0	0	0	0	4.13E-06	0	0	5.00E-06	0	0	0	0	0	0	7.81E-06	0	2.82E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.00009844
polymyxin__mcr-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52E-05	0	0	0	0	7.86E-06	0	0	0	0	0	0	0	0	0	0	0	0	5.23E-05	0	0	polymyxin	0.00009536
beta-lactam__VEB-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76E-05	0	0	0	0	0	0	0	0	7.65E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0000941
tetracycline__tetL	1.89E-05	0	0	0	0	0	0	0	0	0	3.03E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.0000721
vancomycin__vanY	0	0	8.62E-06	0	3.91E-06	0	0	0	0	0	0	2.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vancomycin	0.00007393
beta-lactam__VEB-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32E-05	0	0	0	0	0	3.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0000861
beta-lactam__OXA-360	0	0	0	0	0	2.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63E-05	0	0	1.13E-05	0	3.45E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0000852
beta-lactam__OXA-358	0	0	4.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-lactam	0.0000415
tetracycline__tetX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.95E-06	0	0	0	0	0	0	0	0	0	0	0	tetracycline	0.00008155
